,ANO,CODCORPOLEIPL,NOMEAUTOR,TIPOAUTOR,TIPO,TIPOEMENDA,ESTRUTURALEI,CAPITULO,SECAO,SUBSECAO,ARTIGO,PARAGRAFO,INCISO,ALINEA,ITEM,DESCATEGORIA,INDGERACAOAUTOMATICA,NUMEROEMENDA,TEXTOPROPOSTOEMENDA,JUSTIFICATIVA
23155,2020,20,Perpétua Almeida,Deputado Federal,Texto da Lei,Aditiva,Corpo da lei,A,,,3,,,,,"Art.003, § Único - Inclui nas Prioridades e Metas as ações de enfrentamento à violência contra a mulher",N,11970009,Inclui-se entre as prioridades da administração pública federal para o exercício de 2020 as ações destinadas à promoção da igualdade e enfrentamento à violência contra a mulher.,Busca-se com a emenda reforçar o compromisso do Poder Executivo com a superação do quadro de desigualdade e violência contra a mulher.
23156,2020,20,Patrus Ananias,Deputado Federal,Texto da Lei,Aditiva,Corpo da lei,A,,,3,,,,,"Art.003, § Único - Inclui nas Prioridades e Metas as metas inscritas no PNE",N,14080023,"Parágrafo Único. Incluem entre as prioridades da administração pública federal para o exercício de 2020, as metas inscritas no Plano Nacional de Educação - PNE.",Deixar caracterizada pelo Governo como prioridade da administração pública à área de educação
23157,2020,20,Patrus Ananias,Deputado Federal,Texto da Lei,Modificativa,Corpo da lei,M,,,3,,,,,"Art.003 - Inclui nas Prioridades e Metas aquelas inscritas no PNE, combate à violência contra a mulher, PBSM e as do PPA",N,14080025,"Art. 3º  As prioridades e as metas da administração pública federal para o exercício de 2020, atendidas as despesas contidas na Seção I do Anexo III, e as de funcionamento dos órgãos e das entidades que integram os Orçamentos Fiscal e da Seguridade Social, serão as metas inscritas no Plano Nacional de Educação - PNE, as ações relativas a igualdade e ao enfrentamento à violência contra a mulher, as contidas no Plano Brasil sem Miséria - PBSM e aquelas estabelecidas na Lei do Plano Plurianual 2020-2023.","Esta emenda tem por objetivo compatibilizar a LDO/2020 com o disposto no Plano Nacional de Educação - PNE e Plano Brasil Sem Miséria - PBSM. Adicionalmente, pretende priorizar as ações relativas ao Programa de Igualdade e Enfrentamento à Violência contra a Mulher."
23158,2020,20,Jandira Feghali,Deputado Federal,Texto da Lei,Aditiva,Corpo da lei,A,,,3,,,,,"Art.003, § Único - Inclui nas Prioridades e Metas as ações de enfrentamento à violência contra a mulher",N,17750014,Inclui-se entre as prioridades da administração pública federal para o exercício de 2020 as ações destinadas à promoção da igualdade e enfrentamento à violência contra a mulher.,Busca-se com a emenda reforçar o compromisso do Poder Executivo com a superação do quadro de desigualdade e violência contra a mulher.
23159,2020,20,Mauro Nazif,Deputado Federal,Texto da Lei,Aditiva,Corpo da lei,A,,,3,,,,,"Art.003,§ Unico - Inclui nas prioridades e metas as metas inscritas no Apoio Financeiro para Aquisição e Distribuição de Medicamentos para Doenças Raras",N,24210007,Parágrafo único. Incluem-se entre as prioridades da administração pública federal para o exercício de 2020 as metas inscritas no Apoio Financeiro para Aquisição e Distribuição de Medicamentos para Tratamento de Doenças Raras.,"A Organização Nacional da Saúde (OMS), define Doença Rara aquela que afeta até 65 pessoas em cada 100.000 indivíduos, ou seja, 1,3 pessoas para cada 2.000 indivíduos. No Brasil estima-se que cerca de 13 milhões de indivíduos são afetada por algum tipo de doença rara. A totalidade das doenças que pode acometer o ser humano constitui objeto de atenção por parte do Sistema Único de Saúde (SUS). O tratamento das moléstias, geralmente, é feito com a utilização de medicamentos, sendo essa uma das fases mais importantes do processo de recuperação da saúde vulnerada e que precisa ser adequadamente instaurada e mantida até a cura do indivíduo.
    Os medicamentos para os pacientes com doenças raras são conhecidos por ?medicamentos órfãos?, que são considerados diferentes, pelas autoridades reguladoras, dos outros tipos de fármacos existentes, uma vez que não são economicamente viáveis em condições normais de mercado e, também, pela desigualdade dos pacientes em termos de acesso a medicamentos.
    A Portaria nº 199, de 30 de janeiro de 2014, do Ministério da Saúde, que institui a Política Nacional de Atenção Integral às Pessoas com Doenças Raras, aprova as Diretrizes para Atenção Integral às Pessoas com Doenças Raras no âmbito do Sistema Único de Saúde (SUS) e institui incentivos financeiros de custeio.
    O Sistema Único de Saúde (SUS) é o principal responsável na garantia do direito à saúde dos indivíduos e da coletividade. A Constituição federal em seu artigo 196 estabelece que à saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doença e de outros agravos e ao acesso universal e igualitário às ações e serviços para sua promoção, proteção e recuperação."
23160,2020,20,Mauro Nazif,Deputado Federal,Texto da Lei,Aditiva,Corpo da lei,A,,,3,,,,,"Art.003, § Único - Inclui nas Prioridades e Metas as ações de enfrentamento à violência contra a mulher",N,24210008,Parágrafo único. Incluem-se entre as prioridades da administração pública federal para o exercício de 2020 as metas inscritas no Plano Nacional de Educação - PNE e as ações relativas ao enfrentamento à violência contra a mulher.,"A presente emenda tem por objetivo inserir parágrafo único ao artigo 3º do PLDO, para incluir entre as prioridades da administração pública federal para o ano de 2020 as metas inscritas no Plano Nacional de Educação e as ações relativas ao enfrentamento à violência contra a mulher."
23161,2020,20,Lídice da Mata,Deputado Federal,Texto da Lei,Aditiva,Corpo da lei,A,,,3,,,,,"Art.003, § Único - Inclui nas Prioridades e Metas as ações de enfrentamento à violência contra a mulher",N,24680013,Parágrafo único. Incluem-se entre as prioridades da administração pública federal para o exercício de 2020 as metas inscritas no Plano Nacional de Educação - PNE e as ações relativas ao enfrentamento à violência contra a mulher.,"Esta emenda tem como finalidade priorizar e compatibilizar na lei de diretrizes orçamentárias para 2020, o disposto no Plano Nacional de Educação (PNE) e no Plano Nacional de Combate à Violência Doméstica (PNaViD).

O Plano Nacional de Educação (PNE) aprovado pela Lei nº 13.005, de 25 de junho de 2014 que constitui um marco fundamental para as políticas públicas brasileiras. O PNE conferiu ao País um horizonte para o qual os esforços dos entes federativos e da sociedade civil devem convergir com a finalidade de consolidar um sistema educacional capaz de concretizar o direito à educação em sua integralidade, dissolvendo as barreiras para o acesso e a permanência, reduzindo as desigualdades, promovendo os direitos humanos e garantindo a formação para o trabalho e para o exercício autônomo da cidadania.

A concretização do direito à educação, consagrado pela Constituição Federal de 1988 e por outros instrumentos legais, como a Lei de Diretrizes e Bases da Educação Nacional ? LDB (Lei nº 9.394, de 20 de dezembro de 1996), perpassa pela garantia de que todos os cidadãos tenham oportunidades de acessar as instituições escolares e que encontrem nelas as condições propícias para concluir, na idade certa, suas etapas com níveis satisfatórios de aprendizagem.

O Plano Nacional de Combate à Violência Doméstica (PNaViD) é o conjunto de princípios, diretrizes e objetivos que condicionará a estratégia de combate à violência doméstica a ser implementada pelos três níveis de governo, de forma integrada e coordenada.
As ações têm por objetivo a preservação da vida e incolumidade física das pessoas; a manutenção da ordem pública; o enfrentamento e prevenção à violência doméstica; o apoio às pessoas vitimadas, inclusive com a criação de estruturas de apoio e de atendimento; a condenação e recuperação dos agressores; a qualificação dos profissionais que lidam com o fenômeno; e o engajamento da sociedade, a transparência e publicidade das boas práticas.

Conforme o decreto nº 9.586, de 27 de novembro de 2018, que institui o sistema nacional de políticas para as mulheres e o plano nacional de combate à violência doméstica, ?o PNaViD deve integrar-se às demais políticas em curso, especialmente aquelas cujos desenvolvimentos impactarão nas ações de segurança pública, de saúde, de educação, Justiça, assistência social, assim como as demais políticas setoriais que tangenciam a equidade de gênero, tendo em vista a promoção de um ambiente sem discriminação e seguro para todos?."
23162,2020,20,Jhonatan de Jesus,Deputado Federal,Texto da Lei,Aditiva,Corpo da lei,A,,,3,,,,,Art.003 - Inclui entre as prioridades e metas as despesas destinadas à agricultura familiar em todo o território nacional,N,26700003,"Inclua-se no art. 3º parágrafo único com a seguinte redação:
""Parágrafo único. Incluem-se entre as prioridades da administração pública federal para o exercício de 2020 as despesas destinadas à agricultura familiar em todo o território nacional.""","A emenda tem por objetivo de incluir na LDO 2020 previsão estabelecendo que dentre as prioridades da administração pública se incluirão as despesas para a agricultura familiar. Entre os objetivos específicos criar um ambiente para fortalecer a agricultura familiar nos estados, ao Distrito Federal e aos municípios, apoiar jovens, incentivar o papel das mulheres nas atividades rurais, promover a sustentabilidade e contribuir para a erradicação da fome e pobreza. Dados do último censo agropecuário demonstra que a agricultura familiar é a base da economia de 90% dos municípios brasileiros com até 20 mil habitantes. O texto para 2020 não traz tal consideração, o que entendemos ser impróprio para o fortalecimento da agricultura familiar."
23163,2020,20,Professora Dorinha Seabra Rezende,Deputado Federal,Texto da Lei,Aditiva,Corpo da lei,A,,,3,,,,,"Art.003, § Único - Inclui nas Prioridades e Metas as ações de enfrentamento à violência contra a mulher",N,26930016,Inclui-se entre as prioridades da administração pública federal para o exercício de 2020 as ações destinadas à promoção da igualdade e enfrentamento à violência contra a mulher.,Busca-se com a emenda reforçar o compromisso do Poder Executivo com a superação do quadro de desigualdade e violência contra a mulher.
23164,2020,20,Assis Carvalho,Deputado Federal,Texto da Lei,Aditiva,Corpo da lei,A,,,3,,,,,"Art.003, § Único - Inclui nas Prioridades e Metas as metas inscritas no PNE",N,27050008,"Parágrafo Único. Incluem entre as prioridades da administração pública federal para o exercício de 2012, as metas inscritas no Plano Nacional de Educação - PNE.",Deixar caracterizada pelo Governo como prioridade da administração pública à área de educação
